1539098924411383, 0, 0.019341, 0.000000, L
1539098924411383, 0, 0.013187, 0.000000, R
1539098924419324, 0, 0.019341, 0.001000, L
1539098924419324, 0, 0.012308, 0.001000, R
1539098924422450, 0, 0.019341, 0.002000, L
1539098924422450, 0, 0.011429, 0.002000, R
1539098924426283, 0, 0.018462, 0.003000, L
1539098924426283, 0, 0.012308, 0.003000, R
1539098924430733, 0, 0.019341, 0.004000, L
1539098924430733, 0, 0.014066, 0.004000, R
1539098924436885, 0, 0.017582, 0.005000, L
1539098924436885, 0, 0.012308, 0.005000, R
1539098924441137, 0, 0.019341, 0.006000, L
1539098924441137, 0, 0.014066, 0.006000, R
1539098924444650, 0, 0.019341, 0.007000, L
1539098924444650, 0, 0.012308, 0.007000, R
1539098924450086, 0, 0.018462, 0.008000, L
1539098924450086, 0, 0.013187, 0.008000, R
1539098924452743, 0, 0.019341, 0.009000, L
1539098924452743, 0, 0.011429, 0.009000, R
1539098924456784, 0, 0.022857, 0.010000, L
1539098924456784, 0, 0.015824, 0.010000, R
1539098924459322, 0, 0.031648, 0.011000, L
1539098924459322, 0, 0.022857, 0.011000, R
1539098924465413, 0, 0.036923, 0.012000, L
1539098924465413, 0, 0.027253, 0.012000, R
1539098924468185, 0, 0.043077, 0.013000, L
1539098924468185, 0, 0.036923, 0.013000, R
1539098924472843, 0, 0.044835, 0.014000, L
1539098924472843, 0, 0.041319, 0.014000, R
1539098924476533, 0, 0.047473, 0.015000, L
1539098924476533, 0, 0.038681, 0.015000, R
1539098924483022, 0, 0.047473, 0.016000, L
1539098924483022, 0, 0.046593, 0.016000, R
1539098924487548, 0, 0.050110, 0.017000, L
1539098924487548, 0, 0.043956, 0.017000, R
1539098924491570, 0, 0.053626, 0.018000, L
1539098924491570, 0, 0.041319, 0.018000, R
1539098924495602, 0, 0.054505, 0.019000, L
1539098924495602, 0, 0.046593, 0.019000, R
1539098924502912, 0, 0.056264, 0.020000, L
1539098924502912, 0, 0.041319, 0.020000, R
1539098924504881, 0, 0.057143, 0.021000, L
1539098924504881, 0, 0.036923, 0.021000, R
1539098924510579, 0, 0.059780, 0.022000, L
1539098924510579, 0, 0.037802, 0.022000, R
1539098924513763, 0, 0.061538, 0.023000, L
1539098924513763, 0, 0.037802, 0.023000, R
1539098924518338, 0, 0.059780, 0.024000, L
1539098924518338, 0, 0.047473, 0.024000, R
1539098924521426, 0, 0.059780, 0.025000, L
1539098924521426, 0, 0.047473, 0.025000, R
1539098924525144, 0, 0.061538, 0.026000, L
1539098924525144, 0, 0.045714, 0.026000, R
1539098924531106, 0, 0.066813, 0.027000, L
1539098924531106, 0, 0.041319, 0.027000, R
1539098924535083, 0, 0.059780, 0.028000, L
1539098924535083, 0, 0.042198, 0.028000, R
1539098924540737, 0, 0.059780, 0.029000, L
1539098924540737, 0, 0.046593, 0.029000, R
1539098924543588, 0, 0.061538, 0.030000, L
